Virus name	Accession ID	Collection date	Location	Host	Passage	Specimen	Additional host information	Sequencing technology	Assembly method	Comment	Comment type	Lineage	Clade
hCoV-19/England/PORT-2ECEC2/2021	EPI_ISL_1000528	2021	Europe / United Kingdom / England	Human	Original			Oxford Nanopore		NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/England/QEUH-1032DCF/2021	EPI_ISL_1000639	2021-01-15	Europe / United Kingdom / England	Human	Original			Oxford Nanopore		NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/England/SHEF-10C7248/2021	EPI_ISL_1000653	2021-01-30	Europe / United Kingdom / England	Human	Original			Oxford Nanopore		NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/England/CAMC-1216B01/2021	EPI_ISL_1006611	2021-02-06	Europe / United Kingdom / England	Human	Original			Illumina NovaSeq		NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/England/CAMC-1216EEA/2021	EPI_ISL_1006612	2021-02-06	Europe / United Kingdom / England	Human	Original			Illumina NovaSeq		NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/England/CAMC-1216C1D/2021	EPI_ISL_1006618	2021-02-06	Europe / United Kingdom / England	Human	Original			Illumina NovaSeq		NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/England/MILK-12157D1/2021	EPI_ISL_1006665	2021-02-01	Europe / United Kingdom / England	Human	Original			Illumina NovaSeq		NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/England/MILK-1214EFB/2021	EPI_ISL_1006672	2021-02-01	Europe / United Kingdom / England	Human	Original			Illumina NovaSeq		NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/England/MILK-1214F16/2021	EPI_ISL_1006677	2021-02-01	Europe / United Kingdom / England	Human	Original			Illumina NovaSeq		NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/England/MILK-121573B/2021	EPI_ISL_1006695	2021-02-01	Europe / United Kingdom / England	Human	Original			Illumina NovaSeq		NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/England/MILK-1214B4F/2021	EPI_ISL_1006699	2021-02-01	Europe / United Kingdom / England	Human	Original			Illumina NovaSeq		NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
