Virus name	Accession ID	Collection date	Location	Host	Passage	Specimen	Additional host information	Sequencing technology	Assembly method	Comment	Comment type	Lineage	Clade
hCoV-19/Switzerland/BE-ETHZ-450932/2021	EPI_ISL_1001863	2021-01-10	Europe / Switzerland / Bern	Human	Original	Nasopharyngeal and oropharyngeal swab		Illumina	V-pipe	NS7b_E39stop results in 11.6% truncation of the protein sequence. Gap of 18 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/Switzerland/ZH-ETHZ-461071/2021	EPI_ISL_1001864	2021-01-18	Europe / Switzerland / Zurich	Human	Original	Nasopharyngeal and oropharyngeal swab		Illumina	V-pipe	NS7b_E39stop results in 11.6% truncation of the protein sequence. Gap of 18 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/France/PAC-CERBAHC-20210204-S26/2021	EPI_ISL_1004174	2021-01-27	Europe / France / Provence-Alpes-Cote d'Azur / Provence / Martigues	Human	Original	Nasopharyngeal swab		Illumina Miseq	Nanoware	Gap of 18 nucleotides when compared to the reference sequence.	info	B.1.351.2	GH
hCoV-19/USA/CA-LACPHL-AF00384/2021	EPI_ISL_1005488	2021-01-26	North America / USA / California / Los Angeles County	Human	Original			Illumina MiSeq	Monroe v1.0.0			B.1.429	GH
hCoV-19/USA/CA-LACPHL-AF00390/2021	EPI_ISL_1005498	2021-01-31	North America / USA / California / Los Angeles County	Human	Original			Illumina MiSeq	Monroe v1.0.0			B.1.429	GH
hCoV-19/USA/CA-LACPHL-AF00391/2021	EPI_ISL_1005499	2021-01-31	North America / USA / California / Los Angeles County	Human	Original			Illumina MiSeq	Monroe v1.0.0			B.1.429	GH
hCoV-19/Netherlands/NB-RIVM-11835/2021	EPI_ISL_1013787	2021-01-29	Europe / Netherlands / Noord-Brabant	Human	Original			Nanopore MinION		Gap of 18 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/Netherlands/NB-RIVM-12194/2021	EPI_ISL_1013788	2021-02-04	Europe / Netherlands / Noord-Brabant	Human	Original			Nanopore MinION		Gap of 18 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/Netherlands/NH-RIVM-12212/2021	EPI_ISL_1013789	2021-01-25	Europe / Netherlands / Noord-Holland	Human	Original			Nanopore MinION		Gap of 18 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/Netherlands/NH-RIVM-12215/2021	EPI_ISL_1013790	2021-01-27	Europe / Netherlands / Noord-Holland	Human	Original			Nanopore MinION		Gap of 18 nucleotides when compared to the reference sequence.	info	B.1.351	GH
