We gratefully acknowledge the following Authors from the Originating laboratories responsible for obtaining the specimens, as well as the Submitting laboratories where the genome data were generated and shared via GISAID, on which this research is based.
All Submitters of data may be contacted directly via www.gisaid.org
Virus name	Accession ID	Collection date	Location	Host	Passage	Specimen	Additional host information	Sequencing technology	Assembly method	Comment	Comment type	Lineage	Clade
hCoV-19/England/20139052004/2020	EPI_ISL_420703	2020-03-27	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)	Long stretches of NNNs (5.28% of overall sequence).	lowco	B.1.1	GR
hCoV-19/England/20139053004/2020	EPI_ISL_420706	2020-03-28	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)	Long stretches of NNNs (5.09% of overall sequence).	lowco	B.1.5	G
hCoV-19/England/20139055204/2020	EPI_ISL_420714	2020-03-28	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)			B.1.1	GR
hCoV-19/England/20139055304/2020	EPI_ISL_420715	2020-03-29	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)			B.1.1	GR
hCoV-19/England/20139056904/2020	EPI_ISL_420716	2020-03-26	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)			B.1.1.4	GR
hCoV-19/England/20139057004/2020	EPI_ISL_420717	2020-03-26	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)			B.1.1.4	GR
hCoV-19/England/20139057204/2020	EPI_ISL_420718	2020-03-27	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)			B.2.1	V
hCoV-19/England/20139057404/2020	EPI_ISL_420719	2020-03-27	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)			B.1.1	GR
hCoV-19/England/20139057504/2020	EPI_ISL_420720	2020-03-28	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)			B.2.1	V
hCoV-19/England/20139057604/2020	EPI_ISL_420721	2020-03-28	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)			B.1.1	GR
hCoV-19/England/20139057704/2020	EPI_ISL_420722	2020-03-28	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)			B.1.1	GR
hCoV-19/England/20139058104/2020	EPI_ISL_420723	2020-03-28	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)			B.1.1.1	GR
hCoV-19/England/20139058304/2020	EPI_ISL_420724	2020-03-27	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)			B.1.13	GH
hCoV-19/England/20139059004/2020	EPI_ISL_420727	2020-03-28	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)			B.1.13	GH
hCoV-19/England/20139059504/2020	EPI_ISL_420728	2020-03-28	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)			B.2.1	V
hCoV-19/England/20139059804/2020	EPI_ISL_420729	2020-03-28	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)			B.2	V
hCoV-19/England/20139059904/2020	EPI_ISL_420730	2020-03-27	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)			B.1.1	GR
hCoV-19/England/20139060004/2020	EPI_ISL_420731	2020-03-28	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)			B.2.1	V
hCoV-19/England/20139060404/2020	EPI_ISL_420732	2020-03-28	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)			B.1.1	GR
hCoV-19/England/20139060504/2020	EPI_ISL_420733	2020-03-28	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)			B.1.1	GR
hCoV-19/England/20139060804/2020	EPI_ISL_420734	2020-03-27	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)			B.1.1	GR
hCoV-19/England/20139061104/2020	EPI_ISL_420735	2020-03-27	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)	Insertion of 3 nucleotides when compared to the reference sequence.	info	B.2.1	V
hCoV-19/England/20139061804/2020	EPI_ISL_420737	2020-03-27	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)	Long stretches of NNNs (5.73% of overall sequence).	lowco	B.1.1	GR
hCoV-19/England/20139062504/2020	EPI_ISL_420741	2020-03-27	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)			B.1.1	GR
hCoV-19/England/20139062704/2020	EPI_ISL_420742	2020-03-28	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)			B.1.1	GR
hCoV-19/England/20139062804/2020	EPI_ISL_420743	2020-03-27	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)			B.2	V
hCoV-19/England/20139063204/2020	EPI_ISL_420744	2020-03-28	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)			B.1.1.9	GR
hCoV-19/England/20139063504/2020	EPI_ISL_420745	2020-03-28	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)			B.1	GH
hCoV-19/England/20139063604/2020	EPI_ISL_420746	2020-03-25	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)			B.2.1	V
hCoV-19/England/20139063704/2020	EPI_ISL_420747	2020-03-28	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)			B.2.1	V
hCoV-19/England/20139063804/2020	EPI_ISL_420748	2020-03-28	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)			B.2.1	V
hCoV-19/England/20140037504/2020	EPI_ISL_420749	2020-03-25	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)			B.1	G
