Virus name	Accession ID	Collection date	Location	Host	Passage	Specimen	Additional host information	Sequencing technology	Assembly method	Comment	Comment type	Lineage	Clade
hCoV-19/Scotland/EDB562/2020	EPI_ISL_426021	2020-04-01	Europe / United Kingdom / Scotland	Human	Original			Oxford Nanopore GridION				B.1	G
hCoV-19/USA/ID-UW-4461/2020	EPI_ISL_426075	2020-03-29	North America / USA / Idaho	Human	Original			unknown		Gap of 2 nucleotides when compared to the reference sequence.	info	B.1	G
hCoV-19/Mexico/CMX-INCMNSZ-05/2020	EPI_ISL_426365	2020-03-12	North America / Mexico / Mexico City	Human	Original	Pharyngeal and Nasopharyngeal swab		Illumina NextSeq	bowtie2 v.2.3.4.3/ samtools v.1.9			B.1	G
hCoV-19/USA/HI_4970/2020	EPI_ISL_426420	2020-03-05	North America / USA / Hawaii	Human	Original	Nasopharyngeal swab		Illumina MiSeq, Sanger	bcftools 1.9, bowtie2 2.3.3.1, Sequencher 5.4.6			B.1	G
hCoV-19/Australia/NT19/2020	EPI_ISL_426636	2020-03-25	Oceania / Australia / Northern Territory	Human	Original			Illumina NextSeq 550	ARTIC v3 amplicons, NexteraXT library, minimap2 v2.17, ivar v1.2, samtools v1.10			B.1	G
hCoV-19/Australia/VIC341/2020	EPI_ISL_426650	2020-03-20	Oceania / Australia / Victoria	Human	Original			Illumina NextSeq 550	ARTIC v1 amplicons, NexteraXT library, minimap2 v2.17, ivar v1.2, samtools v1.10			B.1	G
hCoV-19/Australia/VIC343/2020	EPI_ISL_426652	2020-03-20	Oceania / Australia / Victoria	Human	Original			Illumina NextSeq 550	ARTIC v1 amplicons, NexteraXT library, minimap2 v2.17, ivar v1.2, samtools v1.10			B.1	G
hCoV-19/Australia/VIC576/2020	EPI_ISL_426835	2020-03-26	Oceania / Australia / Victoria	Human	Original			Illumina NextSeq 550	ARTIC v3 amplicons, NexteraXT library, minimap2 v2.17, ivar v1.2, samtools v1.10			B.1	G
hCoV-19/Australia/VIC581/2020	EPI_ISL_426838	2020-03-25	Oceania / Australia / Victoria	Human	Original			Illumina NextSeq 550	ARTIC v3 amplicons, NexteraXT library, minimap2 v2.17, ivar v1.2, samtools v1.10			B.1	G
hCoV-19/Australia/VIC583/2020	EPI_ISL_426840	2020-03-25	Oceania / Australia / Victoria	Human	Original			Illumina NextSeq 550	ARTIC v3 amplicons, NexteraXT library, minimap2 v2.17, ivar v1.2, samtools v1.10			B.1	G
hCoV-19/Australia/VIC589/2020	EPI_ISL_426846	2020-03-22	Oceania / Australia / Victoria	Human	Original			Illumina NextSeq 550	ARTIC v3 amplicons, NexteraXT library, minimap2 v2.17, ivar v1.2, samtools v1.10			B.1	G
hCoV-19/Australia/VIC590/2020	EPI_ISL_426847	2020-03-22	Oceania / Australia / Victoria	Human	Original			Illumina NextSeq 550	ARTIC v3 amplicons, NexteraXT library, minimap2 v2.17, ivar v1.2, samtools v1.10			B.1	G
hCoV-19/Australia/VIC619/2020	EPI_ISL_426923	2020-03-28	Oceania / Australia / Victoria	Human	Original			Illumina NextSeq 550	ARTIC v3 amplicons, NexteraXT library, minimap2 v2.17, ivar v1.2, samtools v1.10			B.1	G
hCoV-19/Australia/VIC620/2020	EPI_ISL_426924	2020-03-28	Oceania / Australia / Victoria	Human	Original			Illumina NextSeq 550	ARTIC v3 amplicons, NexteraXT library, minimap2 v2.17, ivar v1.2, samtools v1.10			B.1	G
hCoV-19/Australia/VIC622/2020	EPI_ISL_426926	2020-03-29	Oceania / Australia / Victoria	Human	Original			Illumina NextSeq 550	ARTIC v3 amplicons, NexteraXT library, minimap2 v2.17, ivar v1.2, samtools v1.10			B.1	G
hCoV-19/Australia/VIC666/2020	EPI_ISL_426962	2020-03-27	Oceania / Australia / Victoria	Human	Original			Illumina NextSeq 550	ARTIC v3 amplicons, NexteraXT library, minimap2 v2.17, ivar v1.2, samtools v1.10			B.1	G
hCoV-19/Australia/VIC694/2020	EPI_ISL_426986	2020-03-28	Oceania / Australia / Victoria	Human	Original			Illumina NextSeq 550	ARTIC v3 amplicons, NexteraXT library, minimap2 v2.17, ivar v1.2, samtools v1.10			B.1	G
hCoV-19/USA/CA-SR0217/2020	EPI_ISL_445118	2020-05-04	North America / USA / California / San Diego County	Human	Original	Nasopharyngeal swab		Illumina	iVar 1.2			B.1.243	G
hCoV-19/Japan/Hu_Kng_19-865/2020	EPI_ISL_445183	2020-03-23	Asia / Japan	Human	unknown	Nasopharyngeal swab		unknown				B.1	G
hCoV-19/Chile/RM-ISPCH-5/2020	EPI_ISL_445248	2020-03-09	South America / Chile / Region Metropolitana de Santiago / Santiago	Human	Original	Throat swab		Illumina MiSeq	IRMA v0.9.3			B.1	G
hCoV-19/Chile/RM-ISPCH-18/2020	EPI_ISL_445261	2020-03-11	South America / Chile / Region Metropolitana de Santiago / Santiago	Human	Original	Throat swab		Illumina MiSeq	IRMA v0.9.3			B.1	G
hCoV-19/Chile/RM-ISPCH-20/2020	EPI_ISL_445263	2020-03-11	South America / Chile / Region Metropolitana de Santiago / Santiago	Human	Original	Throat swab		Illumina MiSeq	IRMA v0.9.3			B.1	G
hCoV-19/Chile/LI-ISPCH-1/2020	EPI_ISL_445273	2020-03-16	South America / Chile / O'Higgins / Rancagua	Human	Original	Throat swab		Illumina MiSeq	IRMA v0.9.3			B.1	G
hCoV-19/Chile/LI-ISPCH-6/2020	EPI_ISL_445278	2020-03-16	South America / Chile / O'Higgins / Rancagua	Human	Original	Throat swab		Illumina MiSeq	IRMA v0.9.3			B.1	G
hCoV-19/Wales/PHWC-2AC48/2020	EPI_ISL_445683	2020-04-06	Europe / United Kingdom / Wales	Human	Original	Dry swab		Illumina	Mapping consensus			B.1	G
hCoV-19/Wales/PHWC-2B825/2020	EPI_ISL_445767	2020-04-09	Europe / United Kingdom / Wales	Human	Original	Dry swab		Illumina	Mapping consensus			B.1	G
hCoV-19/Wales/PHWC-2CAA6/2020	EPI_ISL_445944	2020-04-01	Europe / United Kingdom / Wales	Human	Original	Dry swab		Illumina	Mapping consensus			B.1	G
hCoV-19/Wales/PHWC-2EA3B/2020	EPI_ISL_446102	2020-04-07	Europe / United Kingdom / Wales	Human	Original	Dry swab		Illumina	Mapping consensus			B.1.223	G
hCoV-19/Wales/PHWC-2EB92/2020	EPI_ISL_446121	2020-04-07	Europe / United Kingdom / Wales	Human	Original	Dry swab		Illumina	Mapping consensus			B.1	G
hCoV-19/Australia/SA0068/2020	EPI_ISL_451106	2020-03-30	Oceania / Australia / South Australia	Human	Original			Illumina NextSeq 550				B.1	G
hCoV-19/Australia/SA0087/2020	EPI_ISL_451122	2020-03-31	Oceania / Australia / South Australia	Human	Original			Illumina NextSeq 550				B.1	G
hCoV-19/Australia/SA0090/2020	EPI_ISL_451125	2020-04-01	Oceania / Australia / South Australia	Human	Original			Illumina NextSeq 550				B.1	G
hCoV-19/Italy/LAZ-INMI5-N/2020	EPI_ISL_451303	2020-03-04	Europe / Italy / Lazio	Human	Original	Nasopharyngeal swab		Ion Torrent	Trinity v2.8.4 + Geneious 2019.2.3			B.1	G
hCoV-19/Australia/NSW247/2020	EPI_ISL_451512	2020-03-28	Oceania / Australia / New South Wales / Sydney	Human	Original			Illumina iSeq				B.1	G
hCoV-19/Australia/NSW290/2020	EPI_ISL_451554	2020-04-02	Oceania / Australia / New South Wales / Sydney	Human	Original			Illumina iSeq				B.1	G
hCoV-19/Australia/NSW298/2020	EPI_ISL_451562	2020-04-04	Oceania / Australia / New South Wales / Sydney	Human	Original			Illumina iSeq				B.1	G
hCoV-19/Australia/NSW309/2020	EPI_ISL_451573	2020-04-04	Oceania / Australia / New South Wales / Sydney	Human	Original			Illumina iSeq				B.1	G
hCoV-19/Australia/NSW336/2020	EPI_ISL_451598	2020-03-28	Oceania / Australia / New South Wales / Sydney	Human	Original			Illumina iSeq				B.1	G
hCoV-19/Australia/NSW382/2020	EPI_ISL_451642	2020-04-21	Oceania / Australia / New South Wales / Sydney	Human	Original			Illumina iSeq				B.1	G
hCoV-19/Australia/NSW383/2020	EPI_ISL_451643	2020-04-07	Oceania / Australia / New South Wales / Sydney	Human	Original			Illumina iSeq				B.1	G
hCoV-19/Switzerland/BS-ETHZ-100115/2020	EPI_ISL_451699	2020-03-16	Europe / Switzerland / Basel-Stadt	Human	Original	Oropharyngeal swab		Illumina MiSeq	V-pipe			B.1	G
hCoV-19/Switzerland/BE-ETHZ-101139/2020	EPI_ISL_451806	2020-03-31	Europe / Switzerland / Bern	Human	Original	Oropharyngeal swab		Illumina MiSeq	V-pipe			B.1	G
hCoV-19/Germany/BY-MVP-0123/2020	EPI_ISL_451940	2020-03-23	Europe / Germany / Bavaria / Munich	Human	Original	Nasopharyngeal swab		Illumina Hiseq 1500	ARTIC V3 amplicons, Nextera XT library, bwa v0.7.17, iVar v1.2.2			B.1	G
hCoV-19/Scotland/GCVR-1710FA/2020	EPI_ISL_459509	2020-03-27	Europe / United Kingdom / Scotland	Human	Original			Illumina NovaSeq				B.1.2	G
hCoV-19/Scotland/GCVR-1705A1/2020	EPI_ISL_459519	2020-03-25	Europe / United Kingdom / Scotland	Human	Original			Illumina NovaSeq				B.1	G
hCoV-19/Scotland/GCVR-170082/2020	EPI_ISL_459560	2020-03-24	Europe / United Kingdom / Scotland	Human	Original			Illumina NovaSeq				B.1.223	G
hCoV-19/Scotland/GCVR-170C42/2020	EPI_ISL_459581	2020-03-25	Europe / United Kingdom / Scotland	Human	Original			Illumina NovaSeq				B.1.2	G
hCoV-19/Scotland/GCVR-170B45/2020	EPI_ISL_459602	2020-03-25	Europe / United Kingdom / Scotland	Human	Original			Illumina NovaSeq				B.1	G
hCoV-19/Scotland/GCVR-170B09/2020	EPI_ISL_459657	2020-03-24	Europe / United Kingdom / Scotland	Human	Original			Illumina NovaSeq				B.1	G
hCoV-19/Scotland/GCVR-17093C/2020	EPI_ISL_459705	2020-03-26	Europe / United Kingdom / Scotland	Human	Original			Illumina NovaSeq				B.1.223	G
hCoV-19/Scotland/GCVR-1703D4/2020	EPI_ISL_459711	2020-03-24	Europe / United Kingdom / Scotland	Human	Original			Illumina NovaSeq				B.1	G
hCoV-19/Chile/RM-CMM-27991/2020	EPI_ISL_459857	2020-03-15	South America / Chile / Region Metropolitana de Santiago / Santiago	Human	Original			Nanopore MinION	Artic Minion Procotol			B.1	G
hCoV-19/Chile/RM-CMM-32205/2020	EPI_ISL_459859	2020-03-27	South America / Chile / Region Metropolitana de Santiago / Santiago	Human	Original			Nanopore MinION	Artic Minion Procotol			B.1	G
hCoV-19/Canada/ON_QGLO-010/2020	EPI_ISL_459869	2020-03-26	North America / Canada / Ontario	Human	Original			Ion Torrent	AssemblerTrinity and IRMAreport plugins			B.1	G
hCoV-19/Canada/ON-QGLO-019/2020	EPI_ISL_459877	2020-03-27	North America / Canada / Ontario	Human	Original			Ion Torrent	AssemblerTrinity and IRMAreport plugins			B.1.157	G
hCoV-19/England/20119059204/2020	EPI_ISL_465082	2020-03-12	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)			B.1	G
hCoV-19/England/20119085304/2020	EPI_ISL_465115	2020-03-15	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)			B.1.610	G
hCoV-19/England/20172000504/2020	EPI_ISL_465311	2020-04-20	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)			B.1.157	G
hCoV-19/England/20186075004/2020	EPI_ISL_465471	2020-04-28	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)			B.1	G
hCoV-19/England/20186077504/2020	EPI_ISL_465475	2020-04-29	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)			B.1.610	G
hCoV-19/England/20186077604/2020	EPI_ISL_465476	2020-04-29	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)			B.1.610	G
hCoV-19/England/20190056201/2020	EPI_ISL_465586	2020-05-04	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)			B.1.223	G
hCoV-19/England/20190062001/2020	EPI_ISL_465590	2020-04-30	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)			B.1.223	G
hCoV-19/Canada/Qc-LSPQ-L00240947/2020	EPI_ISL_465693	2020-03-27	North America / Canada / Quebec	Human	Original			MGI CleanPlex		Stretches of NNNs (1.13% of overall sequence).	warn	B.1	G
hCoV-19/England/20144024004/2020	EPI_ISL_465997	2020-03-25	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)			B.1	G
hCoV-19/Scotland/GCVR-17234B/2020	EPI_ISL_470009	2020-03-30	Europe / United Kingdom / Scotland	Human	Original			Illumina NovaSeq				B.1.157	G
hCoV-19/Northern Ireland/NIRE-FA704/2020	EPI_ISL_470080	2020-04-06	Europe / United Kingdom / Northern Ireland	Human	Original			Illumina NovaSeq				B.1	G
