Virus name	Accession ID	Collection date	Location	Host	Passage	Specimen	Additional host information	Sequencing technology	Assembly method	Comment	Comment type	Lineage	Clade
hCoV-19/Denmark/DCGC-45348/2020	EPI_ISL_1025726	2020-12-21	Europe / Denmark / Hovedstaden	Human	Original			Oxford Nanopore	ARTIC-ncov2019 v1.1.0			B	O
hCoV-19/England/ALDP-1294BDE/2021	EPI_ISL_1044910	2021-02-11	Europe / United Kingdom / England	Human	Original			Illumina NovaSeq				A.23.1	S
hCoV-19/Canada/NS-NML-16211/2021	EPI_ISL_1055730	2021-01-11	North America / Canada / Nova Scotia	Human	Original	Nasopharyngeal swab		Nanopore MinION	ARTIC Network Protocol v1			A.23.1	S
hCoV-19/France/un-HMN-21022190155/2021	EPI_ISL_1085407	2021-02-16	Europe / France	Human	Original	Nasopharyngeal swab		Illumina NextSeq500	Illumina DRAGEN COVIDSeq Test Pipeline v.1.2.2			B	L
hCoV-19/Guangzhou/20SF206/2020	EPI_ISL_406533	2020-01-22	Asia / China / Guangdong / Guangzhou	Human	Original							B	L
hCoV-19/Guangdong/20SF201/2020	EPI_ISL_406538	2020-01-23	Asia / China / Guangdong	Human	Original							B	L
hCoV-19/South Korea/KUMC03/2020	EPI_ISL_413513	2020-02-27	Asia / South Korea	Human	Original	Nasopharyngeal swab		Illumina MiSeq	CLC Genomics workbench 10			A	S
hCoV-19/South Korea/KUMC04/2020	EPI_ISL_413514	2020-02-27	Asia / South Korea	Human	Vero P1	Nasopharyngeal swab		Illumina MiSeq	CLC Genomics workbench 10			A	S
hCoV-19/South Korea/KUMC05/2020	EPI_ISL_413515	2020-02-27	Asia / South Korea	Human	Original	Nasopharyngeal swab		Illumina MiSeq	CLC Genomics workbench 10			A	S
hCoV-19/South Korea/KUMC06/2020	EPI_ISL_413516	2020-02-27	Asia / South Korea	Human	Vero P1	Nasopharyngeal swab		Illumina MiSeq	CLC Genomics workbench 10			A	S
hCoV-19/Beijing/105/2020	EPI_ISL_413518	2020-01-26	Asia / China / Beijing	Human	unknown			MGISEQ2000	IDBA v. 1.1.3			A	S
hCoV-19/Beijing/231/2020	EPI_ISL_413519	2020-01-28	Asia / China / Beijing	Human	unknown			MGISEQ2000	IDBA v. 1.1.3			A	S
hCoV-19/Beijing/233/2020	EPI_ISL_413520	2020-01-28	Asia / China / Beijing	Human	unknown			MGISEQ2000	IDBA v. 1.1.3			A	S
hCoV-19/Beijing/235/2020	EPI_ISL_413521	2020-01-28	Asia / China / Beijing	Human	unknown			MGISEQ2000	IDBA v. 1.1.3			A	S
hCoV-19/India/MH-1-31/2020	EPI_ISL_413523	2020-01-31	Asia / India / Maharashtra	Human	Original	Throat Swab		Illumina Miniseq	CLC Genomics Workbench 11			B	S
hCoV-19/USA/CA-CDPH-UC1/2020	EPI_ISL_413557	2020-02-28	North America / USA / California / Sonoma County	Human	Original			Illumina NextSeq with MSSPE	Geneious 11.1.3			A.1	S
hCoV-19/USA/WA-S3/2020	EPI_ISL_413560	2020-02-28	North America / USA / Washington	Human	Original	Mid-Turbinate nasal swab		Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA11-UW7/2020	EPI_ISL_413562	2020-03-02	North America / USA / Washington	Human	Original			Illumina NextSeq	Geneious Prime 2020.0.5			A.1	S
hCoV-19/USA/WA12-UW8/2020	EPI_ISL_413563	2020-03-03	North America / USA / Washington	Human	Original			Illumina NextSeq	Geneious Prime 2020.0.5			A.1	S
hCoV-19/Netherlands/Oisterwijk_1364072/2020	EPI_ISL_413580	2020-03-02	Europe / Netherlands / Noord-Brabant / Oisterwijk	Human	Original			Nanopore		Gap of 3 nucleotides when compared to the reference sequence.	info	B	L
hCoV-19/Netherlands/Utrecht_1364066/2020	EPI_ISL_413590	2020-03-02	Europe / Netherlands / Utrecht	Human	Original			Nanopore		Gap of 3 nucleotides when compared to the reference sequence.	info	B	L
hCoV-19/USA/WA13-UW9/2020	EPI_ISL_413601	2020-03-02	North America / USA / Washington	Human	Original			Illumina NextSeq	Geneious Prime 2020.0.5			A.1	S
hCoV-19/Weifang/WF0014/2020	EPI_ISL_413711	2020-02	Asia / China / Weifang	Human	Original			MGI				B	S
hCoV-19/USA/WA-S37/2020	EPI_ISL_417090	2020-03-04	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S38/2020	EPI_ISL_417091	2020-03-04	North America / USA / Washington / Snohomish County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S39/2020	EPI_ISL_417092	2020-03-04	North America / USA / Washington / Snohomish County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S40/2020	EPI_ISL_417093	2020-02-28	North America / USA / Washington / Snohomish County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S42/2020	EPI_ISL_417095	2020-02-28	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S43/2020	EPI_ISL_417096	2020-02-27	North America / USA / Washington	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S44/2020	EPI_ISL_417097	2020-02-28	North America / USA / Washington	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S45/2020	EPI_ISL_417098	2020-02-29	North America / USA / Washington	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S46/2020	EPI_ISL_417099	2020-02-29	North America / USA / Washington	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S47/2020	EPI_ISL_417100	2020-02-29	North America / USA / Washington / Snohomish County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
