Virus name	Accession ID	Collection date	Location	Host	Passage	Specimen	Additional host information	Sequencing technology	Assembly method	Comment	Comment type	Lineage	Clade
hCoV-19/Switzerland/BE-ETHZ-480123/2021	EPI_ISL_1001834	2021-01-29	Europe / Switzerland / Bern	Human	Original	Nasopharyngeal and oropharyngeal swab		Illumina	V-pipe	NS8_Q27stop results in 78.5% truncation of the protein sequence.	info	B.1.160	GH
hCoV-19/Switzerland/BE-ETHZ-450831/2021	EPI_ISL_1001837	2021-01-09	Europe / Switzerland / Bern	Human	Original	Nasopharyngeal and oropharyngeal swab		Illumina	V-pipe	NS8_Q18stop results in 86.0% truncation of the protein sequence.	info	B.1.160	GH
hCoV-19/Switzerland/BL-ETHZ-470508/2021	EPI_ISL_1001848	2021-01-22	Europe / Switzerland / Basel-Landschaft	Human	Original	Nasopharyngeal and oropharyngeal swab		Illumina	V-pipe	NS8_E64stop results in 47.9% truncation of the protein sequence.	info	B.1.160	GH
hCoV-19/Switzerland/BL-ETHZ-470618/2021	EPI_ISL_1001849	2021-01-23	Europe / Switzerland / Basel-Landschaft	Human	Original	Nasopharyngeal and oropharyngeal swab		Illumina	V-pipe	NS8_E64stop results in 47.9% truncation of the protein sequence.	info	B.1.160	GH
hCoV-19/Switzerland/ZH-ETHZ-481125/2021	EPI_ISL_1001862	2021-02-02	Europe / Switzerland / Zurich	Human	Original	Nasopharyngeal and oropharyngeal swab		Illumina	V-pipe	NS8_E106stop results in 13.2% truncation of the protein sequence.	info	B.1.160	GH
hCoV-19/Switzerland/ZH-ETHZ-480079/2021	EPI_ISL_1004007	2021-02-01	Europe / Switzerland / Zurich	Human	Original	Nasopharyngeal and oropharyngeal swab		Illumina	V-pipe			B.1.160.15	GH
hCoV-19/Switzerland/ZH-ETHZ-480373/2021	EPI_ISL_1004009	2021-02-01	Europe / Switzerland / Zurich	Human	Original	Nasopharyngeal and oropharyngeal swab		Illumina	V-pipe			B.1.160.22	GH
hCoV-19/Switzerland/ZH-ETHZ-480351/2021	EPI_ISL_1004019	2021-02-01	Europe / Switzerland / Zurich	Human	Original	Nasopharyngeal and oropharyngeal swab		Illumina	V-pipe			B.1.160.14	GH
hCoV-19/Switzerland/ZH-ETHZ-480428/2021	EPI_ISL_1004026	2021-02-01	Europe / Switzerland / Zurich	Human	Original	Nasopharyngeal and oropharyngeal swab		Illumina	V-pipe			B.1.36.35	GH
hCoV-19/Switzerland/ZH-ETHZ-480429/2021	EPI_ISL_1004028	2021-02-01	Europe / Switzerland / Zurich	Human	Original	Nasopharyngeal and oropharyngeal swab		Illumina	V-pipe			B.1.160	GH
